시도명,시군구명,시설명,상세주소,시설면적,경도,위도,관리부서
전라북도,익산시,황등면주민센터,전라북도 익산시 황등면황등로 140-5  ,388.0000,126.944921,36.004420,황등면장
전라북도,익산시,웅포면주민센터,전라북도 익산시 웅포면강변로 9  ,798.0000,126.876904,36.064187,면장
전라북도,익산시,성당초등학교(강당),전라북도 익산시 성당면성당로 354-16  ,995.0000,126.927055,36.100152,김택수
전라북도,익산시,용머리권역 상생관,전라북도 익산시 용안면강변로 1087-12  ,701.5000,126.931250,36.128388,고동근
전라북도,익산시,용성초등학교,전라북도 익산시 낭산면하맹길 183  ,218.0000,126.999558,36.055999,홍현주
전라북도,익산시,망성면사무소,전라북도 익산시 망성면안성로 726  ,1875.0000,127.020378,36.132028,한병용
전라북도,익산시,가람어울림센터,전라북도 익산시 여산면 ,170.0000,,,소미정
전라북도,익산시,금마초등학교,전라북도 익산시 금마면금마4길 38  ,1269.0000,127.056840,35.991390,교장
전라북도,익산시,왕궁면주민센터,전라북도 익산시 왕궁면흥암1길 14  ,85.0000,127.087559,35.966240,허철호
전라북도,익산시,춘포면사무소,전라북도 익산시 춘포면춘포2길 11  ,108.0000,127.005195,35.900978,윤금주
전라북도,익산시,이리동산초등학교,전라북도 익산시 평동로23길 46  (동산동),801.0000,126.963928,35.931440,손미숙
전라북도,익산시,전북대학교 익산캠퍼스,전라북도 익산시 고봉로 79  (마동),913.0000,126.959712,35.942633,정택철
전라북도,익산시,남중동주민센터,전라북도 익산시 인북로56길 8  (남중동),85.0000,126.959067,35.951148,남중동장
전라북도,익산시,이리남중학교,전라북도 익산시 배산로3길 56  (모현동1가),7968.0000,126.935974,35.945891,김기호
전라북도,익산시,송학동주민센터,전라북도 익산시 고현로 11  (송학동),1719.0000,126.940262,35.938509,소미섭
